Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  07/1937;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.0;0.0
  08/1940;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.0;0.0
  09/1940;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.5;  0.0;  0.0;  0.0; 13.7;  0.0;  0.0;  0.0;0.0;0.0;---;13.7;14.2
  10/1940;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.3;  0.0; 50.5;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 27.0; 65.5;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;3.0;0.0;0.0;65.5;146.3
  11/1940;  0.0;  0.0;  0.0;  0.0; 12.0;  0.0;  0.0;  0.0;  0.8; 27.6;  0.0; 28.3; 34.0; 35.0; 34.3;  4.0;  0.3;  0.0;  0.0;  0.0; 38.0;  0.0;  0.3;  0.0; 23.3; 18.8; 18.0; 10.3;5.3;0.0;---;38.0;290.3
  12/1940; 11.5;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  3.4;  0.0;  0.0; 12.3;  0.0; 34.3;  6.7; 36.6; 40.5;  9.5;  3.0;  0.0;  0.0;0.0;0.3;0.0;40.5;158.1
  01/1941; 25.0; 34.4; 12.7; 42.5; 32.0; 27.0;  0.0;  0.0;  0.0;  4.7;  0.0; 36.0; 12.0; 17.0;  0.0; 15.0;  0.0;  0.0; 32.0;  0.0; 43.0;  0.0;  0.0; 11.3;  7.4;  0.0;  0.0; 17.4;3.0;0.0;0.0;43.0;372.4
  02/1941;  0.0;  0.9; 39.7;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 10.4;  0.4;  0.0;  0.0; 30.4;  0.8;  0.0; 45.5;  0.0;  0.0;---;---;---;45.5;128.1
  03/1941;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.7;  0.0;  0.0;  0.6;  0.0;  0.0;  0.4;  0.0; 57.0;  0.0;  0.0; 21.0; 23.0;  0.0;  0.0;0.0;0.0;0.0;57.0;102.7
  04/1941; 49.0;  9.0;  9.2;  0.0;  0.0;  0.0;  0.0; 10.3;  0.0;  0.0;  0.0;  0.0;  0.0; 15.5;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;49.0;93.0
  05/1941;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 11.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 13.0;0.0;0.0;0.0;13.0;24.0
  06/1941;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;0.0;0.0
  07/1941;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 22.3;  0.0;  0.4;  0.2;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;22.3;22.9
  08/1941;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.0;0.0
  09/1941;  0.0;  0.0;  0.3; 13.0;  0.0;  0.0; 18.1;  0.0;  0.0;  0.0;  6.5; 29.3;  0.0; 40.0;  0.7; 15.5;  0.0;  0.0; 18.0;  0.0;  0.0; 10.5;  0.0;  0.0;  7.5; 38.0; 13.9;  0.0;0.0;0.0;---;40.0;211.3
